DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (px2)             0.0321214
Formation Factor (ratio)                16.9433861
Cementation Factor (ratio)              1.9621598
pore density (1/px3)                    0.0002908
Tortuosity (ratio)                      1.2430909
Average Coordination Number             4.742775
Average Throat Radius (px)              2.673661
Average Pore Radius (px)                5.13837
Average Throat Length (px)              15.4859619
Pore to Throat Aspect ratio             3.565485
Specific Surface (1/px)                 0.1543706
Pore Sphericity (ratio)                 0.6998004
Grain Sphericity (ratio)                0.8364815
Average Grain Radius (px)               8.2932272
Relative Young Module (ratio)           0.3068074

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.5217336
0.02                                    0.5217336
0.03                                    0.5217336
0.04                                    0.5217336
0.05                                    0.5217336
0.06                                    0.5217336
0.07                                    0.5217336
0.08                                    0.4912598
0.09                                    0.4303121
0.1                                     0.4303121
0.11                                    0.3954849
0.12                                    0.3737178
0.13                                    0.3715411
0.14                                    0.3715411
0.15                                    0.3715411
0.16                                    0.3715411
0.17                                    0.3715411
0.18                                    0.3715411
0.19                                    0.3715411
0.2                                     0.3715411
0.21                                    0.3715411
0.22                                    0.3715411
0.23                                    0.3715411
0.24                                    0.3715411
0.25                                    0.3715411
0.26                                    0.3715411
0.27                                    0.3715411
0.28                                    0.3715411
0.29                                    0.3563042
0.3                                     0.3475974
0.31                                    0.3454207
0.32                                    0.3454207
0.33                                    0.3454207
0.34                                    0.343244
0.35                                    0.343244
0.36                                    0.343244
0.37                                    0.3388906
0.38                                    0.3388906
0.39                                    0.3388906
0.4                                     0.3367139
0.41                                    0.3367139
0.42                                    0.3367139
0.43                                    0.3367139
0.44                                    0.3367139
0.45                                    0.3367139
0.46                                    0.3367139
0.47                                    0.3367139
0.48                                    0.3367139
0.49                                    0.3367139
0.5                                     0.3367139
0.51                                    0.3367139
0.52                                    0.3367139
0.53                                    0.3367139
0.54                                    0.3367139
0.55                                    0.3345372
0.56                                    0.3345372
0.57                                    0.3345372
0.58                                    0.3323605
0.59                                    0.3323605
0.6                                     0.3323605
0.61                                    0.3323605
0.62                                    0.3323605
0.63                                    0.3323605
0.64                                    0.3323605
0.65                                    0.3323605
0.66                                    0.3323605
0.67                                    0.3323605
0.68                                    0.3323605
0.69                                    0.3323605
0.7                                     0.3323605
0.71                                    0.3323605
0.72                                    0.3323605
0.73                                    0.3323605
0.74                                    0.3323605
0.75                                    0.3323605
0.76                                    0.3323605
0.77                                    0.3323605
0.78                                    0.3323605
0.79                                    0.3323605
0.8                                     0.3323605
0.81                                    0.3323605
0.82                                    0.3323605
0.83                                    0.3323605
0.84                                    0.3323605
0.85                                    0.3236536
0.86                                    0.3236536
0.87                                    0.3236536
0.88                                    0.3236536
0.89                                    0.3236536
0.9                                     0.3236536
0.91                                    0.3149468
0.92                                    0.3018866
0.93                                    0.2931798
0.94                                    0.2801196
0.95                                    0.2605292
0.96                                    0.2539991
0.97                                    0.2431156
0.98                                    0.2278787
0.99                                    0.2082884
1.0                                     0.0907464


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0
0.02                                    0.0001623
0.03                                    0.0001623
0.04                                    0.0001623
0.05                                    0.0001623
0.06                                    0.0001623
0.07                                    0.0001623
0.08                                    0.0001695
0.09                                    0.0001903
0.1                                     0.0001903
0.11                                    0.000197
0.12                                    0.0002085
0.13                                    0.0002105
0.14                                    0.0002105
0.15                                    0.0002105
0.16                                    0.0002105
0.17                                    0.0002105
0.18                                    0.0002105
0.19                                    0.0002105
0.2                                     0.0002105
0.21                                    0.0002105
0.22                                    0.0002105
0.23                                    0.0002105
0.24                                    0.0002105
0.25                                    0.0002105
0.26                                    0.0002105
0.27                                    0.0002105
0.28                                    0.0002105
0.29                                    0.0007357
0.3                                     0.0024649
0.31                                    0.0024654
0.32                                    0.0024654
0.33                                    0.0024654
0.34                                    0.002972
0.35                                    0.002972
0.36                                    0.002972
0.37                                    0.0210635
0.38                                    0.0210635
0.39                                    0.0210635
0.4                                     0.0239924
0.41                                    0.0239924
0.42                                    0.0239924
0.43                                    0.0239924
0.44                                    0.0239924
0.45                                    0.0239924
0.46                                    0.0239924
0.47                                    0.0239924
0.48                                    0.0239924
0.49                                    0.0239924
0.5                                     0.0239924
0.51                                    0.0239924
0.52                                    0.0239924
0.53                                    0.0239924
0.54                                    0.0239924
0.55                                    0.0702432
0.56                                    0.0702432
0.57                                    0.0702432
0.58                                    0.153751
0.59                                    0.153751
0.6                                     0.153751
0.61                                    0.153751
0.62                                    0.153751
0.63                                    0.153751
0.64                                    0.153751
0.65                                    0.153751
0.66                                    0.153751
0.67                                    0.153751
0.68                                    0.153751
0.69                                    0.153751
0.7                                     0.153751
0.71                                    0.153751
0.72                                    0.153751
0.73                                    0.153751
0.74                                    0.153751
0.75                                    0.153751
0.76                                    0.153751
0.77                                    0.153751
0.78                                    0.153751
0.79                                    0.153751
0.8                                     0.153751
0.81                                    0.153751
0.82                                    0.153751
0.83                                    0.153751
0.84                                    0.153751
0.85                                    0.3261323
0.86                                    0.3261323
0.87                                    0.3261323
0.88                                    0.3261323
0.89                                    0.3261323
0.9                                     0.3261323
0.91                                    0.4784016
0.92                                    0.5595263
0.93                                    0.7768622
0.94                                    0.7954896
0.95                                    0.811985
0.96                                    0.8208641
0.97                                    0.8351116
0.98                                    0.8792202
0.99                                    0.891818
1.0                                     1.0


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    1.0
0.02                                    0.9973099
0.03                                    0.9973099
0.04                                    0.9973099
0.05                                    0.9973099
0.06                                    0.9973099
0.07                                    0.9973099
0.08                                    0.9799997
0.09                                    0.9417259
0.1                                     0.9417259
0.11                                    0.9109581
0.12                                    0.8930819
0.13                                    0.8919317
0.14                                    0.8919317
